Year,Region,Harvest,CIP
2014,,,
2015,YKD,558,35
2016,YKD,1468,98
2016,BSNS,0,0
2016,BBR,0,0
2017,YKD,1799,104
2017,BSNS,485,98
2017,BBR,61,190
2018,YKD,4948,83
2018,BSNS,4586,180
2018,BBR,183,88
2019,YKD,4484,119
2019,BSNS,100,197
2019,BBR,434,181
